Mean: 0,511218400817
Median: 0,47029882388669
Median Absolute Deviation: 0,47029882388669
Variance: 0,113878310397342
Kurtosis: -1,65520370816582
Skewness: 0,130071330929777
100,0,1716,0,0492,0,8602,0,8308,0,9115,0,1831,0,1716,-2,2480,3,0745
100,-0,2538,-0,2348,-0,3987,0,9643,0,9820,-0,2087,-0,2538,-2,6853,1,6482
100,0,0354,0,0910,-0,4862,1,2480,1,1171,0,1217,0,0354,-2,6792,2,6131
100,-0,1313,0,4834,0,6714,0,9186,0,9584,-0,0925,-0,1313,-2,0252,2,9842
10000,0,0015,-0,0326,-0,0456,0,9950,0,9975,-0,0001,0,0015,-3,9875,3,4470
10000,-0,0008,0,0098,0,0205,1,0111,1,0055,0,0104,-0,0008,-3,9296,4,1431
10000,-0,0139,0,0285,-0,0612,1,0088,1,0044,-0,0072,-0,0139,-3,5996,3,5030
10000,-0,0095,0,0506,0,0311,1,0048,1,0024,-0,0031,-0,0095,-4,0567,4,0392
10000,0,0075,0,0112,0,1000,0,9870,0,9935,0,0032,0,0075,-3,6967,3,9199
10000,-0,0049,0,0058,0,0279,0,9862,0,9931,0,0049,-0,0049,-4,2892,3,4871
10000,0,0231,-0,0266,0,0501,1,0173,1,0086,0,0156,0,0231,-3,6725,3,5528
10000,0,0151,-0,0298,0,0412,1,0087,1,0044,0,0060,0,0151,-4,0053,4,1716
10000,-0,0181,-0,0186,-0,0109,1,0435,1,0215,-0,0123,-0,0181,-4,1664,3,8171
10000,0,0052,-0,0165,0,0122,1,0139,1,0069,-0,0029,0,0052,-4,0068,3,5825
10000,-0,0172,0,0173,-0,0013,0,9979,0,9990,-0,0097,-0,0172,-3,9875,4,0075
10000,-0,0018,-0,0342,0,0431,0,9822,0,9911,-0,0122,-0,0018,-3,6890,3,4518
10000,0,0198,-0,0376,-0,0192,0,9929,0,9964,0,0239,0,0198,-3,6991,3,4252
10000,-0,0080,0,0238,-0,1111,1,0139,1,0069,0,0007,-0,0080,-3,6185,3,7547
10000,-0,0100,-0,0036,0,0695,1,0019,1,0009,-0,0005,-0,0100,-3,9440,3,9466
10000,0,0137,0,0059,-0,0868,0,9866,0,9933,0,0035,0,0137,-3,3794,3,4126
10000,0,0014,0,0022,0,0398,0,9874,0,9937,-0,0019,0,0014,-4,2366,3,7790
10000,-0,0161,-0,0025,0,0030,0,9915,0,9957,-0,0150,-0,0161,-4,2571,3,8187
10000,0,0121,0,0017,-0,0390,0,9919,0,9960,0,0049,0,0121,-3,6070,3,6305
10000,0,0112,-0,0445,0,0464,1,0006,1,0003,0,0098,0,0112,-4,2972,3,6754
10000,-0,0067,0,0030,-0,0471,0,9938,0,9969,-0,0110,-0,0067,-3,9073,3,8198
10000,0,0026,0,0085,0,0808,0,9906,0,9953,-0,0009,0,0026,-4,1571,4,5554
10000,0,0152,0,0080,0,1435,1,0116,1,0058,0,0117,0,0152,-4,5168,3,9218
10000,0,0003,0,0008,0,0627,0,9998,0,9999,-0,0050,0,0003,-3,8358,3,7351
10000,0,0004,-0,0137,-0,0283,1,0076,1,0038,0,0011,0,0004,-3,6404,3,6844
